Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
AE1,Antenna_Shield,2065130001,61.075000,-22.250000,-90.000000,top
C1,1uF,C_0402_1005Metric,57.972907,-29.211712,180.000000,top
C2,100nF,C_0402_1005Metric,59.472907,-28.731712,90.000000,top
C3,10uF 25V,C_0603_1608Metric,51.975000,-33.100000,180.000000,top
C4,10uF,C_0402_1005Metric,25.650000,-29.550000,0.000000,top
C5,10uF,C_0402_1005Metric,23.830000,-29.550000,180.000000,top
C6,10uF 25V,C_0603_1608Metric,74.900000,-31.300000,90.000000,top
C7,1uF,C_0402_1005Metric,57.992907,-28.211712,180.000000,top
C8,10uF 25V,C_0603_1608Metric,27.050000,-34.650000,90.000000,top
C9,100nF,C_0402_1005Metric,42.880000,-21.300000,0.000000,top
C10,1uF,C_0402_1005Metric,34.800000,-32.700000,-90.000000,top
C11,10pF,C_0402_1005Metric,46.250000,-27.830000,-90.000000,top
C12,10pF,C_0402_1005Metric,49.100000,-25.520000,-90.000000,top
C13,10uF,C_0402_1005Metric,39.100000,-21.300000,0.000000,top
C14,100nF,C_0402_1005Metric,41.000000,-22.300000,180.000000,top
C15,1uF,C_0402_1005Metric,44.800000,-24.600000,0.000000,top
C16,100nF,C_0402_1005Metric,35.025000,-25.845000,-90.000000,top
C17,100nF,C_0402_1005Metric,44.300000,-28.800000,90.000000,top
C18,10uF,C_0402_1005Metric,45.300000,-28.800000,90.000000,top
C19,DNP,C_0402_1005Metric,56.600000,-23.620000,-90.000000,top
C20,DNP,C_0402_1005Metric,53.600000,-24.620000,90.000000,top
C21,100nF,C_0402_1005Metric,55.850000,-22.150000,0.000000,top
C22,100nF,C_0402_1005Metric,65.000000,-28.470000,90.000000,top
C23,1uF,C_0402_1005Metric,90.970000,-25.549999,0.000000,top
C24,1nF,C_1206_3216Metric,106.500000,-33.300000,270.000000,top
C25,100nF,C_0402_1005Metric,102.175000,-33.850000,-90.000000,top
C26,10uF,C_0402_1005Metric,45.000000,-25.500000,180.000000,top
C27,100nF,C_0402_1005Metric,92.800000,-25.549999,0.000000,top
C28,10uF,C_0402_1005Metric,52.350000,-26.100000,0.000000,top
C29,1uF,C_0402_1005Metric,89.150000,-36.780000,90.000000,top
C30,10uF,C_0402_1005Metric,52.320000,-30.700000,0.000000,top
C31,10uF,C_0402_1005Metric,52.300000,-31.650000,0.000000,top
C32,10uF,C_0402_1005Metric,50.570000,-26.100000,180.000000,top
C33,10uF,CP_EIA-3216-10_Kemet-I,67.850000,-28.500000,180.000000,top
C34,100nF,C_0402_1005Metric,90.100000,-35.850000,-90.000000,top
C35,100nF,C_0402_1005Metric,87.670000,-34.700000,0.000000,top
C36,100nF,C_0402_1005Metric,91.100000,-37.750000,90.000000,top
C37,100nF,C_0402_1005Metric,90.100000,-37.750000,-90.000000,top
C38,100nF,C_0402_1005Metric,91.100000,-35.920000,90.000000,top
C39,100nF,C_0402_1005Metric,58.400000,-26.950000,0.000000,top
C40,1uF,C_0402_1005Metric,29.000000,-30.800000,0.000000,top
D1,1N5819WS,D_SOD-323,48.850000,-33.000000,0.000000,top
D2,1N5819WS,D_SOD-323,24.750000,-35.162500,180.000000,top
D3,B5819W,D_SOD-123,72.550000,-28.600000,0.000000,top
D4,BAV70,SOT-23,46.250000,-35.962499,90.000000,top
D5,1N4148WS,D_SOD-323,48.950000,-35.650000,90.000000,top
F2,2A,R_0603_1608Metric,23.750000,-46.975000,90.000000,top
F3,2A,R_0603_1608Metric,104.250000,-23.250000,-90.000000,top
FB1,Bead,L_0805_2012Metric,76.150000,-28.000000,-90.000000,top
H1,ToolingHole,ToolingHole_JLCSMT,106.000000,-48.000000,0.000000,top
H2,ToolingHole,ToolingHole_JLCSMT,22.000000,-22.000000,0.000000,top
J1,USB_C_Receptacle_USB2.0,USB_C_Receptacle_Palconn_UTC16-G,70.000000,-23.775000,180.000000,top
J2,I2C,PinHeader_1x03_P2.54mm_Vertical,80.970001,-21.400000,90.000000,top
L1,10uH,L_1210_3225Metric,21.500000,-33.200000,-90.000000,top
L2,0R,L_0402_1005Metric,55.100000,-24.120000,0.000000,top
L3,2.2uH,L_Taiyo-Yuden_MD-3030,55.150000,-27.850000,-90.000000,top
Q1,AO3401A,SOT-23,47.362500,-30.350000,0.000000,top
Q2,AO3401A,SOT-23,32.600000,-22.762500,90.000000,top
Q3,FS8205A,SOT-23-6,95.537500,-34.350001,180.000000,top
Q6,2N7002,SOT-23,42.800000,-35.962500,90.000000,top
R1,100R,R_0402_1005Metric,75.400000,-33.400000,180.000000,top
R2,680k,R_0603_1608Metric,51.650000,-34.800000,180.000000,top
R3,50R,R_0402_1005Metric,46.700000,-33.040001,90.000000,top
R4,47k,R_0402_1005Metric,27.050000,-30.300000,-90.000000,top
R5,5.1k,R_0402_1005Metric,27.050000,-32.200000,90.000000,top
R6,47k,R_0402_1005Metric,45.109999,-21.300000,180.000000,top
R7,0R,R_0402_1005Metric,41.000000,-21.300000,180.000000,top
R8,5.1k,R_0402_1005Metric,35.240000,-21.300000,0.000000,top
R9,5.1k,R_0402_1005Metric,35.240000,-22.300000,0.000000,top
R10,47k,R_0402_1005Metric,42.360000,-33.550000,180.000000,top
R11,47k,R_0402_1005Metric,31.550000,-24.550000,90.000000,top
R12,1k,R_0402_1005Metric,98.740000,-32.150000,0.000000,top
R13,470R,R_0402_1005Metric,100.640000,-32.150000,180.000000,top
R14,1k,R_0402_1005Metric,94.400000,-29.090000,-90.000000,top
R15,10k,R_0402_1005Metric,94.400000,-27.249999,-90.000000,top
R16,5.1k,R_0402_1005Metric,44.690000,-27.200000,0.000000,top
R17,10k,R_0402_1005Metric,48.440000,-27.400000,180.000000,top
R18,200k,R_0805_2012Metric,77.012500,-21.500000,180.000000,top
R19,5.1k,R_0402_1005Metric,76.250000,-25.700000,0.000000,top
R20,5.1k,R_0402_1005Metric,76.240001,-24.650000,180.000000,top
R21,47k,R_0402_1005Metric,50.300000,-31.300000,0.000000,top
R22,100R,R_0402_1005Metric,89.150000,-34.950000,-90.000000,top
R23,100R,R_0402_1005Metric,85.809999,-34.700000,0.000000,top
R24,100R,R_0402_1005Metric,92.500000,-37.250000,180.000000,top
R25,100R,R_0402_1005Metric,92.500000,-38.200000,180.000000,top
R26,10mR,R_0805_2012Metric,94.400000,-37.737500,90.000000,top
R27,100R,R_0402_1005Metric,23.500000,-44.550000,90.000000,top
R28,5.1k,R_0402_1005Metric,77.550000,-27.450000,90.000000,top
R29,10k,R_0402_1005Metric,45.300000,-33.040001,-90.000000,top
R30,10k,R_0402_1005Metric,77.550000,-29.400000,-90.000000,top
R31,5.1k,R_0402_1005Metric,37.159999,-21.300000,0.000000,top
R32,100R,R_0402_1005Metric,85.090000,-36.300000,0.000000,top
R33,10k,R_0402_1005Metric,87.869999,-38.900000,0.000000,top
SW1,Power,SW_SPST_B3U-3000P-B,21.350001,-43.000000,90.000000,top
SW2,BTN1,SW_SPST_B3U-3000P-B,21.350000,-27.000001,90.000000,top
SW3,BTN2,SW_SPST_B3U-3000P-B,106.650000,-42.999999,-90.000000,top
SW4,BTN3,SW_SPST_B3U-3000P-B,106.650000,-27.000000,-90.000000,top
U1,~,FFC_30P_TC_P0.5mm_0.5K-AS-30PWB,64.010000,-32.575000,0.000000,top
U2,W25Q128,WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4.3mm,38.065000,-34.700000,90.000000,top
U3,ESP32-S3,QFN-56-1EP_7x7mm_P0.4mm_EP4x4mm_ThermalVias,39.650000,-26.950000,-90.000000,top
U4,~,VEML3235SL,55.130000,-20.600000,0.000000,top
U5,~,ST_HCLGA-4LD_3x4mm,62.425000,-28.000000,90.000000,top
U6,TPS61040DBV,SOT-23-5,24.850000,-32.112500,270.000000,top
U7,DW01+G,SOT-23-6,99.637500,-34.350001,180.000000,top
U8,BQ24081,Texas_DRC0010J_ThermalVias,91.900000,-27.999999,0.000000,top
U9,SRV05-4,SOT-23-6,33.262500,-28.550000,180.000000,top
U10,BQ27546,DSBGA-15_BQ27546_I2C_1.95x2.6mm_P0.5mm,87.350000,-36.800000,180.000000,top
U11,TPS63001,Texas_DRC0010J_ThermalVias,51.400000,-28.400000,180.000000,top
U12,ESP-PSRAM32,SOIC-8_3.9x4.9mm_P1.27mm,30.745000,-35.025000,0.000000,top
Y1,40MHz,Crystal_SMD_2016-4Pin_2.0x1.6mm,47.350000,-25.500000,90.000000,top
